,C3L-00144,C3N-00175,C3N-00560,C3N-02089,C3N-00580,C3L-00095,C3N-01030,C3N-01489,C3L-00080,C3L-00279
PDX1,-0.8488412,-0.60372686,0.5986986,0.5835897,-1.031235,-0.36893833,0.9965133,0.75948936,1.0696803,-1.3320556
PGR,0.41803935,-0.6048547,-1.1364523,0.1350335,-0.29284197,0.7212994,0.96463555,0.07653726,-1.4660829,-1.5411602
PHF20,-1.0830991,-0.14984797,1.918023,-0.4383162,0.181871,-0.33430925,-0.2249073,-0.66345096,-0.57083344,0.7354797
PIN1,0.27453598,1.2540661,0.027150963,0.33228424,-1.1103101,-0.119498275,0.2617443,0.279479,0.08997063,-0.28922594
PML,-0.02739021,-0.35031125,0.19234608,-0.023667919,0.5226169,0.16000271,0.034398247,0.0485231,-0.113069445,0.16643435
POU2F1,0.63995975,0.9251901,-0.8871978,0.0071579507,0.8241691,0.41692492,0.65544933,0.8153702,0.1684219,0.13671044
POU5F1,0.6570641,1.1807475,0.9502449,0.64268106,1.0582613,0.65780574,1.0753591,0.8182475,0.16340663,0.42160565
PPARA,-3.2640924,-1.8833543,-1.6400882,0.08539805,-4.2411714,-1.3308915,-3.0946026,-2.0051038,-2.2277746,-1.5987549
PPARG,-0.2974909,0.28314605,0.67336315,-0.19825698,-1.9508467,-0.6619006,-0.67041963,-0.39409098,-0.5427327,-0.35666698
PPARGC1A,-0.66653454,-1.5018908,0.9258429,1.7865307,-0.6652001,-1.0306069,-1.2876877,1.283523,-0.2206504,-1.6849422
RARA,-0.2251608,-0.56721956,-0.5239908,0.71513456,-2.8114974,-2.586221,-0.13822454,0.55254436,-2.807935,0.3277006
RARG,1.4880729,1.3932614,1.1832057,-0.65243787,-1.4522675,2.3298647,1.6941704,1.6701185,-2.0137439,1.7558233
RB1,-0.46965954,-0.118614465,-0.8990062,-0.9415451,-0.695483,-0.10328922,-0.44909704,0.0073739276,-0.44740024,-0.16762541
REL,-0.6480473,-1.4985769,-0.30044347,-0.044833694,0.9606111,1.3090321,1.3847344,0.34503576,-0.4755571,-1.0984519
RELA,-1.0328894,-1.7370312,-2.0608041,-0.9760682,-0.0151878,1.1756152,0.9395767,0.13759473,-2.870768,-1.2785091
RUNX1,-1.6903083,-2.6927068,-1.9678987,-1.500361,-2.936526,-1.1731368,-2.2431197,-2.6609988,-1.6556617,-2.2340066
RUNX2,0.33535367,0.1375998,-0.101505436,1.8620235,0.7303351,3.2256036,2.7817328,2.3259985,-1.1999897,1.2064395
RUNX3,-0.29135776,-1.1237279,-0.34056717,-0.18904719,-0.3996165,-0.1684034,-0.6555775,-0.2835421,-0.81067157,-0.7652941
RXRA,-0.5999278,-0.77496296,0.7399417,0.489483,-2.7335985,-0.40462673,-0.48745808,1.3022853,-1.4362564,0.9105239
SF1,2.3170094,0.61055017,1.6976856,1.5435345,0.15570275,1.0871773,1.0514262,-0.78076696,-0.30920872,-0.38390708
SFPQ,-0.35911125,-0.17570764,0.61404216,-0.12453495,-0.72413963,-0.5124961,-0.79480124,-0.6200475,-1.1657846,-0.7761138
SIRT1,-0.35845855,-0.6645018,-1.2236792,-2.1109776,-0.4229765,-0.0064112293,-0.29452175,-0.5036195,-1.0733639,-0.41807994
SMAD1,1.4772965,0.26264223,0.6051819,0.46721116,-0.39080435,0.96170884,1.0043378,0.7207308,-0.76299894,1.4533832
SMAD2,-0.03441712,-0.26298866,-0.035984702,0.6345818,0.25951317,1.5828375,1.2752521,1.089612,-1.2386664,-0.97825885
SMAD3,0.49401975,0.27580574,-0.87522256,0.8589701,1.2316984,1.9069713,0.07733561,1.7948152,-2.1205015,0.50483453
SMAD4,1.5304531,0.12668182,-0.24904029,-0.053195626,0.5212312,1.9001129,1.5594821,2.1272242,-0.7888031,0.3411358
SMAD7,-1.1295259,-0.7258723,-0.8261922,-0.36784112,-1.031964,-1.2735622,-0.97531044,-0.94736964,-1.3619807,-2.5178893
SMARCB1,0.12493569,0.45615003,1.3063537,0.7777464,1.2291241,0.61457604,0.43000928,0.11040329,1.3002143,0.7853823
SMARCC1,0.47268292,0.10299893,-0.421647,1.2189924,0.7080194,-0.27088577,0.8244896,0.6845197,1.1038177,-0.52879226
SNAI1,-0.8253738,-1.0572705,0.13728198,0.9177881,-1.0870296,0.11410923,-1.064981,-0.6222914,-0.9512054,-0.23046695
SOX9,-0.11086735,-0.42513725,-0.3486416,-0.55547273,-0.44179866,0.7308659,-0.7496278,0.79114795,-1.2657466,0.08913066
SP1,-1.6959285,-1.1104659,-0.43874827,-1.6460533,-1.066765,-1.4333012,0.18343264,1.6351082,-4.787764,-1.544532
SP3,-0.341377,0.025196454,-1.2651314,-3.3321934,-1.0948157,-0.2918183,1.6752491,0.8326316,-2.2470171,0.79155964
SP7,-0.86238456,0.47628567,-0.54115164,-0.5158496,-0.4615079,1.2541851,2.0273914,1.4410822,-1.1287116,-0.58103776
SREBF1,-2.3200994,-1.637315,-0.21197209,0.10148602,-1.0426556,-1.6596273,-1.1171023,-0.3479823,-1.7901052,-2.393454
SREBF2,-1.9847683,-0.68893033,-0.7955524,-0.1123166,1.3952236,-1.9108642,-1.2062253,0.24103333,-1.3409324,-1.3802997
SRF,0.8091334,-1.3094754,-1.0976909,-0.77855617,-1.1474836,-0.822127,-0.7374235,1.3211142,-2.6596167,-1.9896568
STAT1,-0.9457693,-1.99734,-0.0059998166,-0.971535,-0.84642625,-0.036343522,0.56716895,0.33637863,-2.739049,-1.4235212
STAT3,1.3939688,-1.2592818,0.33003303,0.85330206,0.82802224,0.7252938,1.9093753,2.453844,-0.59804344,-0.8657085
STAT5A,0.96551174,-0.6160822,-0.2605781,0.04332388,-0.51855326,1.9443654,0.99950737,0.112751245,-0.8577481,-0.92082065
STAT5B,0.21147625,0.19499421,0.68996185,0.7969338,0.48900235,0.83644587,1.8135625,1.4212621,0.28193703,0.8593508
STAT6,-1.5568472,-2.5120013,-0.31347102,-1.3495092,-1.0107692,0.5784264,-0.4809888,-0.07005566,-2.291788,-0.43749794
TAL1,-0.1873406,-0.89707565,0.16133754,-1.7822021,-1.4960073,-0.67433494,0.0902425,-0.6250743,-0.8082262,-1.1614281
TBX3,-0.81983906,-1.6058092,0.82219,1.2503732,-1.4966322,-1.3374352,-0.8306184,-0.043700904,0.26373303,-1.4165039
TCF3,-0.25223485,-0.81307906,0.2285131,-0.5011096,0.2931331,1.2454673,0.44070905,1.9503,-0.75254244,-0.6798176
